track_id,clase,confianza_promedio,frames_visible,tiempo_visible_s,rois_visitadas,visitas__pasillo_norte,tiempo_s__pasillo_norte,visitas__bahias_centro,tiempo_s__bahias_centro,visitas__pasillo_sur,tiempo_s__pasillo_sur
230,car,0.3953,10,0.334,0,0,0.0,0,0.0,0,0.0
232,car,0.4114,49,1.635,0,0,0.0,0,0.0,0,0.0
239,car,0.5407,11,0.367,0,0,0.0,0,0.0,0,0.0
240,car,0.5877,5,0.167,1,1,0.1,0,0.0,0,0.0
242,car,0.4206,78,2.603,0,0,0.0,0,0.0,0,0.0
244,car,0.4451,4,0.133,1,1,0.133,0,0.0,0,0.0
249,car,0.4535,115,3.837,0,0,0.0,0,0.0,0,0.0
252,car,0.606,35,1.168,0,0,0.0,0,0.0,0,0.0
259,car,0.4225,8,0.267,1,1,0.133,0,0.0,0,0.0
263,car,0.3775,11,0.367,1,0,0.0,1,0.634,0,0.0
268,car,0.4487,50,1.668,0,0,0.0,0,0.0,0,0.0
269,car,0.3821,9,0.3,0,0,0.0,0,0.0,0,0.0
270,car,0.3726,2,0.067,0,0,0.0,0,0.0,0,0.0
271,car,0.5381,83,2.769,1,1,0.601,0,0.0,0,0.0
277,car,0.5802,53,1.768,0,0,0.0,0,0.0,0,0.0
280,car,0.4143,15,0.501,0,0,0.0,0,0.0,0,0.0
285,car,0.4034,27,0.901,1,0,0.0,3,0.734,0,0.0
286,car,0.3708,14,0.467,1,0,0.0,1,0.334,0,0.0
288,car,0.3863,23,0.767,1,0,0.0,1,0.801,0,0.0
289,car,0.3695,5,0.167,0,0,0.0,0,0.0,0,0.0
296,car,0.3577,3,0.1,0,0,0.0,0,0.0,0,0.0
299,car,0.5079,62,2.069,1,1,0.167,0,0.0,0,0.0
302,car,0.3975,2,0.067,0,0,0.0,0,0.0,0,0.0
304,car,0.4425,8,0.267,0,0,0.0,0,0.0,0,0.0
314,car,0.3962,12,0.4,1,0,0.0,1,0.434,0,0.0
319,car,0.5206,19,0.634,0,0,0.0,0,0.0,0,0.0
324,car,0.3614,1,0.033,0,0,0.0,0,0.0,0,0.0
327,car,0.3857,8,0.267,0,0,0.0,0,0.0,0,0.0
329,car,0.6225,127,4.238,0,0,0.0,0,0.0,0,0.0
332,car,0.3877,4,0.133,0,0,0.0,0,0.0,0,0.0
333,car,0.528,97,3.237,1,1,3.47,0,0.0,0,0.0
334,car,0.3683,2,0.067,0,0,0.0,0,0.0,0,0.0
335,car,0.4127,133,4.438,1,0,0.0,3,4.671,0,0.0
339,car,0.3723,21,0.701,1,0,0.0,1,0.734,0,0.0
340,car,0.3744,24,0.801,1,0,0.0,1,1.235,0,0.0
341,car,0.4152,3,0.1,0,0,0.0,0,0.0,0,0.0
343,car,0.3934,116,3.871,0,0,0.0,0,0.0,0,0.0
345,car,0.5073,97,3.237,0,0,0.0,0,0.0,0,0.0
350,car,0.4075,32,1.068,0,0,0.0,0,0.0,0,0.0
351,car,0.3917,69,2.302,0,0,0.0,0,0.0,0,0.0
368,car,0.3898,24,0.801,0,0,0.0,0,0.0,0,0.0
378,car,0.5146,28,0.934,0,0,0.0,0,0.0,0,0.0
379,car,0.6909,3,0.1,0,0,0.0,0,0.0,0,0.0
382,car,0.4606,1,0.033,0,0,0.0,0,0.0,0,0.0
383,car,0.3748,3,0.1,1,0,0.0,1,0.1,0,0.0
386,car,0.392,10,0.334,0,0,0.0,0,0.0,0,0.0
387,car,0.3753,2,0.067,0,0,0.0,0,0.0,0,0.0
393,car,0.3763,6,0.2,0,0,0.0,0,0.0,0,0.0
401,car,0.4389,12,0.4,0,0,0.0,0,0.0,0,0.0
405,car,0.3644,11,0.367,0,0,0.0,0,0.0,0,0.0
406,car,0.4931,1,0.033,0,0,0.0,0,0.0,0,0.0
414,car,0.4732,7,0.234,0,0,0.0,0,0.0,0,0.0
417,car,0.3584,5,0.167,0,0,0.0,0,0.0,0,0.0
422,car,0.3703,23,0.767,1,0,0.0,1,0.968,0,0.0
428,car,0.3805,33,1.101,1,0,0.0,3,1.235,0,0.0
429,car,0.5827,26,0.868,1,1,0.2,0,0.0,0,0.0
435,car,0.3752,2,0.067,0,0,0.0,0,0.0,0,0.0
439,car,0.4606,2,0.067,0,0,0.0,0,0.0,0,0.0
446,car,0.4057,4,0.133,0,0,0.0,0,0.0,0,0.0
447,car,0.3792,3,0.1,1,0,0.0,1,0.1,0,0.0
449,car,0.5542,108,3.604,1,0,0.0,3,3.403,0,0.0
451,car,0.3869,14,0.467,1,0,0.0,1,0.601,0,0.0
455,car,0.5332,46,1.535,0,0,0.0,0,0.0,0,0.0
461,car,0.497,18,0.601,0,0,0.0,0,0.0,0,0.0
462,car,0.4009,219,7.307,1,0,0.0,7,8.275,0,0.0
465,car,0.6267,54,1.802,0,0,0.0,0,0.0,0,0.0
468,car,0.362,4,0.133,0,0,0.0,0,0.0,0,0.0
469,car,0.5582,55,1.835,1,1,1.735,0,0.0,0,0.0
473,car,0.4036,24,0.801,0,0,0.0,0,0.0,0,0.0
474,car,0.4047,62,2.069,0,0,0.0,0,0.0,0,0.0
475,car,0.3691,2,0.067,0,0,0.0,0,0.0,0,0.0
478,car,0.5355,149,4.972,1,0,0.0,1,5.339,0,0.0
479,car,0.4046,17,0.567,1,0,0.0,1,0.601,0,0.0
485,car,0.405,74,2.469,1,0,0.0,1,2.536,0,0.0
490,car,0.6516,97,3.237,2,1,0.968,1,2.236,0,0.0
492,car,0.3869,8,0.267,0,0,0.0,0,0.0,0,0.0
501,car,0.626,56,1.869,0,0,0.0,0,0.0,0,0.0
502,car,0.5681,1,0.033,0,0,0.0,0,0.0,0,0.0
503,car,0.3805,15,0.501,0,0,0.0,0,0.0,0,0.0
518,car,0.3752,8,0.267,1,0,0.0,1,0.167,0,0.0
520,car,0.5606,45,1.502,0,0,0.0,0,0.0,0,0.0
526,car,0.3944,35,1.168,0,0,0.0,0,0.0,0,0.0
529,car,0.3879,42,1.401,0,0,0.0,0,0.0,0,0.0
533,car,0.3546,2,0.067,0,0,0.0,0,0.0,0,0.0
538,car,0.5494,47,1.568,0,0,0.0,0,0.0,0,0.0
543,car,0.3828,30,1.001,1,0,0.0,2,1.201,0,0.0
544,car,0.3747,1,0.033,0,0,0.0,0,0.0,0,0.0
558,car,0.3544,1,0.033,0,0,0.0,0,0.0,0,0.0
559,car,0.3531,1,0.033,0,0,0.0,0,0.0,0,0.0
560,car,0.5928,69,2.302,0,0,0.0,0,0.0,0,0.0
562,car,0.3643,2,0.067,0,0,0.0,0,0.0,0,0.0
566,car,0.5559,4,0.133,0,0,0.0,0,0.0,0,0.0
571,car,0.5973,310,10.344,1,0,0.0,1,0.801,0,0.0
572,car,0.372,4,0.133,1,0,0.0,1,0.167,0,0.0
573,car,0.5948,61,2.035,0,0,0.0,0,0.0,0,0.0
575,car,0.4168,16,0.534,1,0,0.0,1,0.4,0,0.0
579,car,0.4559,31,1.034,1,0,0.0,2,1.468,0,0.0
580,car,0.3909,6,0.2,1,0,0.0,1,0.2,0,0.0
583,car,0.4189,12,0.4,0,0,0.0,0,0.0,0,0.0
587,car,0.5363,52,1.735,0,0,0.0,0,0.0,0,0.0
