track_id,clase,confianza_promedio,frame_primera_deteccion,frame_ultima_deteccion,tiempo_visible_s,roi_id,roi_nombre,visitas,frames_dentro,tiempo_en_roi_s,visita_mas_larga_s,frame_primera_entrada,frame_ultima_salida,alertas
722,car,0.3785,715,735,0.3,bahias_centro,Bahias de parqueo centrales,1,7,0.234,0.234,715,722.0,0
752,car,0.4144,763,857,1.134,bahias_centro,Bahias de parqueo centrales,1,28,0.934,0.934,830,858.0,0
780,car,0.4048,804,862,1.068,bahias_centro,Bahias de parqueo centrales,2,32,1.068,0.734,804,826.0,0
781,car,0.3829,805,808,0.133,bahias_centro,Bahias de parqueo centrales,1,4,0.133,0.133,805,809.0,0
801,car,0.3735,838,845,0.267,bahias_centro,Bahias de parqueo centrales,1,8,0.267,0.267,838,846.0,0
820,car,0.398,854,863,0.3,bahias_centro,Bahias de parqueo centrales,1,8,0.267,0.267,856,,0
3,car,0.5802,0,186,5.939,pasillo_norte,Pasillo de circulacion norte,1,60,2.002,2.002,77,137.0,0
19,car,0.5265,4,228,5.038,pasillo_norte,Pasillo de circulacion norte,1,80,2.669,2.669,91,171.0,0
104,car,0.474,62,146,2.603,pasillo_norte,Pasillo de circulacion norte,1,18,0.601,0.601,129,147.0,0
124,car,0.4477,80,163,1.201,pasillo_norte,Pasillo de circulacion norte,3,47,1.568,0.834,80,164.0,0
177,car,0.5513,155,622,12.713,pasillo_norte,Pasillo de circulacion norte,1,58,1.935,1.935,560,618.0,0
188,car,0.4914,165,178,0.4,pasillo_norte,Pasillo de circulacion norte,1,13,0.434,0.434,165,178.0,0
195,car,0.4369,167,208,1.134,pasillo_norte,Pasillo de circulacion norte,1,24,0.801,0.801,185,209.0,0
204,car,0.4723,179,339,3.103,pasillo_norte,Pasillo de circulacion norte,1,21,0.701,0.701,319,340.0,0
240,car,0.5877,210,215,0.167,pasillo_norte,Pasillo de circulacion norte,1,3,0.1,0.1,213,216.0,0
244,car,0.4451,217,220,0.133,pasillo_norte,Pasillo de circulacion norte,1,4,0.133,0.133,217,221.0,0
259,car,0.4225,227,250,0.267,pasillo_norte,Pasillo de circulacion norte,1,4,0.133,0.133,237,241.0,0
271,car,0.5381,233,323,2.769,pasillo_norte,Pasillo de circulacion norte,1,18,0.601,0.601,306,324.0,0
299,car,0.5079,257,326,2.069,pasillo_norte,Pasillo de circulacion norte,1,5,0.167,0.167,257,262.0,0
333,car,0.528,323,428,3.237,pasillo_norte,Pasillo de circulacion norte,1,104,3.47,3.47,325,429.0,0
429,car,0.5827,420,447,0.868,pasillo_norte,Pasillo de circulacion norte,1,6,0.2,0.2,442,448.0,0
469,car,0.5582,447,504,1.835,pasillo_norte,Pasillo de circulacion norte,1,52,1.735,1.735,447,499.0,0
490,car,0.6516,458,558,3.237,pasillo_norte,Pasillo de circulacion norte,1,29,0.968,0.968,458,487.0,0
641,car,0.6129,583,684,3.303,pasillo_norte,Pasillo de circulacion norte,1,4,0.133,0.133,681,685.0,0
642,car,0.5973,584,683,3.27,pasillo_norte,Pasillo de circulacion norte,1,47,1.568,1.568,632,679.0,0
703,car,0.4778,671,765,2.536,pasillo_norte,Pasillo de circulacion norte,2,40,1.335,1.101,721,766.0,0
708,car,0.5509,685,863,5.739,pasillo_norte,Pasillo de circulacion norte,1,21,0.701,0.701,738,759.0,0
710,car,0.6382,687,846,4.838,pasillo_norte,Pasillo de circulacion norte,1,51,1.702,1.702,687,738.0,0
727,car,0.5392,719,862,4.404,pasillo_norte,Pasillo de circulacion norte,1,66,2.202,2.202,797,,0
733,car,0.4563,728,819,1.602,pasillo_norte,Pasillo de circulacion norte,1,44,1.468,1.468,776,820.0,0
742,car,0.4787,754,770,0.534,pasillo_norte,Pasillo de circulacion norte,1,17,0.567,0.567,754,771.0,0
774,car,0.5642,797,828,0.934,pasillo_norte,Pasillo de circulacion norte,1,32,1.068,1.068,797,829.0,0
789,car,0.5159,828,844,0.467,pasillo_norte,Pasillo de circulacion norte,1,17,0.567,0.567,828,845.0,0
177,car,0.5513,155,622,12.713,pasillo_sur,Pasillo de circulacion sur,1,66,2.202,2.202,335,401.0,0
620,car,0.478,563,572,0.234,pasillo_sur,Pasillo de circulacion sur,1,10,0.334,0.334,563,573.0,0
641,car,0.6129,583,684,3.303,pasillo_sur,Pasillo de circulacion sur,1,12,0.4,0.4,583,595.0,0
